# Canonical list of SIMUT log codes — see tools/gen_logcodes.py.
# Columns: code, enum, en, js_pt, pt, es   (tab-separated)
#   en     feeds translateCodeEn( ) AND EVT_NAMES_EN; --check asserts both match it
#   js_pt  EVT_NAMES_PT, historically written without accents
#   pt     @LOGCODES of language_pt-BR.lng, with accents
#   es     @LOGCODES of language_es-ES.lng
# Extracted from the five tables with all of them already in agreement.
#
0	SYS_OK	OK	OK	OK	OK
1	SYS_BOOT	System boot	Boot do sistema	Boot do sistema	Arranque del sistema
2	SYS_REBOOT_USER	User-requested reboot	Reboot solicitado pelo usuario	Reboot solicitado pelo usuário	Reinicio solicitado por el usuario
3	SYS_HEAP_LOW	Heap memory low	Heap baixa	Heap baixa	Memoria heap baja
4	SYS_UPTIME_MARK	Uptime milestone	Marco de uptime	Marco de uptime	Marca de uptime
10	SYS_WIFI_CONNECT	WiFi connecting	Conectando WiFi	Conectando WiFi	Conectando WiFi
11	SYS_WIFI_DISCONNECT	WiFi disconnected	WiFi desconectado	WiFi desconectado	WiFi desconectado
12	SYS_WIFI_SCAN	WiFi scanning	Varredura WiFi	Varredura WiFi	Escaneo WiFi
13	SYS_NTP_SYNC	NTP synced	NTP sincronizado	NTP sincronizado	NTP sincronizado
14	SYS_IP_ACQUIRED	IP acquired	IP obtido	IP obtido	IP obtenida
15	SYS_AP_START	AP mode started	AP iniciado	AP iniciado	Modo AP iniciado
20	SYS_STORAGE_FAIL	Storage failure	Falha no storage	Falha no storage	Fallo de almacenamiento
21	SYS_STORAGE_SAVE	Config saved	Config salva	Config salva	Config guardada
22	SYS_STORAGE_ROTATE	Storage rotated	Storage rotacionado	Storage rotacionado	Almacenamiento rotado
23	SYS_STORAGE_FORMAT	Flash formatting	Formatando flash	Formatando flash	Formateando flash
24	SYS_STORAGE_RECOVER	Storage recovered	Storage recuperado	Storage recuperado	Almacenamiento recuperado
25	SYS_STORAGE_MIGRATED	Config migrated	Config migrada	Config migrada	Config migrada
30	SYS_TEL_SENT	Telemetry sent	Telemetria enviada	Telemetria enviada	Telemetría enviada
31	SYS_TEL_FAIL	Telemetry failed	Falha de telemetria	Falha de telemetria	Fallo de telemetría
32	SYS_TEL_RETRY	Telemetry retry	Retry de telemetria	Retry de telemetria	Reintento de telemetría
33	SYS_TEL_QUEUE	Telemetry queued	Telemetria enfileirada	Telemetria enfileirada	Telemetría encolada
